Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,32.13503333333333,min
Min cumulative indexing time across primary shards,,0,min
Median cumulative indexing time across primary shards,,0.018033333333333335,min
Max cumulative indexing time across primary shards,,26.2247,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,9.866150000000001,min
Cumulative merge count of primary shards,,1548,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.017666666666666667,min
Max cumulative merge time across primary shards,,5.192366666666667,min
Cumulative merge throttle time of primary shards,,0.2773333333333333,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0.2773333333333333,min
Cumulative refresh time of primary shards,,10.599,min
Cumulative refresh count of primary shards,,14588,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.09460833333333334,min
Max cumulative refresh time across primary shards,,3.1919666666666666,min
Cumulative flush time of primary shards,,2.3986666666666663,min
Cumulative flush count of primary shards,,18,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.000625,min
Max cumulative flush time across primary shards,,2.3221833333333333,min
Total Young Gen GC,,43.149,s
Total Old Gen GC,,0,s
Store size,,4.55615125503391,GB
Translog size,,1.102275786921382,GB
Heap used for segments,,1.7116889953613281,MB
Heap used for doc values,,0.7843894958496094,MB
Heap used for terms,,0.85211181640625,MB
Heap used for norms,,0.00262451171875,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.07256317138671875,MB
Segment count,,101,
Min Throughput,index-append,4816.44,docs/s
Median Throughput,index-append,5024.75,docs/s
Max Throughput,index-append,5393.53,docs/s
50th percentile latency,index-append,3728.9723990015773,ms
90th percentile latency,index-append,4938.125346098242,ms
99th percentile latency,index-append,9990.051602060143,ms
99.9th percentile latency,index-append,10011.026454744202,ms
100th percentile latency,index-append,10011.333666003338,ms
50th percentile service time,index-append,3728.9723990015773,ms
90th percentile service time,index-append,4938.125346098242,ms
99th percentile service time,index-append,9990.051602060143,ms
99.9th percentile service time,index-append,10011.026454744202,ms
100th percentile service time,index-append,10011.333666003338,ms
error rate,index-append,1.04,%
Min Throughput,randomized-nested-queries,16.41,ops/s
Median Throughput,randomized-nested-queries,19.28,ops/s
Max Throughput,randomized-nested-queries,20.00,ops/s
50th percentile latency,randomized-nested-queries,4047.1243025003787,ms
90th percentile latency,randomized-nested-queries,9267.898317596702,ms
99th percentile latency,randomized-nested-queries,10819.398675890152,ms
99.9th percentile latency,randomized-nested-queries,11047.441791877458,ms
100th percentile latency,randomized-nested-queries,11090.436139002122,ms
50th percentile service time,randomized-nested-queries,78.27940050083271,ms
90th percentile service time,randomized-nested-queries,137.38073040076418,ms
99th percentile service time,randomized-nested-queries,209.5393433312347,ms
99.9th percentile service time,randomized-nested-queries,279.9009715322733,ms
100th percentile service time,randomized-nested-queries,297.75425499974517,ms
error rate,randomized-nested-queries,0.00,%
Min Throughput,randomized-term-queries,25.00,ops/s
Median Throughput,randomized-term-queries,25.02,ops/s
Max Throughput,randomized-term-queries,25.02,ops/s
50th percentile latency,randomized-term-queries,10.727508000854868,ms
90th percentile latency,randomized-term-queries,18.01773970400973,ms
99th percentile latency,randomized-term-queries,29.41221093995409,ms
100th percentile latency,randomized-term-queries,48.62103599953116,ms
50th percentile service time,randomized-term-queries,9.22419049857126,ms
90th percentile service time,randomized-term-queries,16.649727600088227,ms
99th percentile service time,randomized-term-queries,27.74237136873125,ms
100th percentile service time,randomized-term-queries,47.58687199864653,ms
error rate,randomized-term-queries,0.00,%
Min Throughput,randomized-sorted-term-queries,7.58,ops/s
Median Throughput,randomized-sorted-term-queries,7.61,ops/s
Max Throughput,randomized-sorted-term-queries,7.65,ops/s
50th percentile latency,randomized-sorted-term-queries,82916.99612400043,ms
90th percentile latency,randomized-sorted-term-queries,93872.01534160013,ms
99th percentile latency,randomized-sorted-term-queries,96763.13857921271,ms
100th percentile latency,randomized-sorted-term-queries,97074.5014890017,ms
50th percentile service time,randomized-sorted-term-queries,248.12107049910992,ms
90th percentile service time,randomized-sorted-term-queries,371.0011821014632,ms
99th percentile service time,randomized-sorted-term-queries,477.7407786505861,ms
100th percentile service time,randomized-sorted-term-queries,743.6610690019734,ms
error rate,randomized-sorted-term-queries,0.00,%
Min Throughput,match-all,5.00,ops/s
Median Throughput,match-all,5.00,ops/s
Max Throughput,match-all,5.00,ops/s
50th percentile latency,match-all,6.5901564976229565,ms
90th percentile latency,match-all,8.841684196522694,ms
99th percentile latency,match-all,21.448495719050683,ms
100th percentile latency,match-all,115.77298599877395,ms
50th percentile service time,match-all,5.254995499853976,ms
90th percentile service time,match-all,7.306915901426693,ms
99th percentile service time,match-all,20.397649810583964,ms
100th percentile service time,match-all,114.44815000140807,ms
error rate,match-all,0.00,%
Min Throughput,nested-date-histo,0.81,ops/s
Median Throughput,nested-date-histo,0.81,ops/s
Max Throughput,nested-date-histo,0.82,ops/s
50th percentile latency,nested-date-histo,93509.5452864989,ms
90th percentile latency,nested-date-histo,132088.5435015018,ms
99th percentile latency,nested-date-histo,142203.14495285088,ms
100th percentile latency,nested-date-histo,143581.75888500045,ms
50th percentile service time,nested-date-histo,2455.5044369990355,ms
90th percentile service time,nested-date-histo,2676.1246261005,ms
99th percentile service time,nested-date-histo,2929.784166379286,ms
100th percentile service time,nested-date-histo,3187.116208999214,ms
error rate,nested-date-histo,0.00,%
Min Throughput,randomized-nested-queries-with-inner-hits_default,17.94,ops/s
Median Throughput,randomized-nested-queries-with-inner-hits_default,17.99,ops/s
Max Throughput,randomized-nested-queries-with-inner-hits_default,18.00,ops/s
50th percentile latency,randomized-nested-queries-with-inner-hits_default,101.44677761127241,ms
90th percentile latency,randomized-nested-queries-with-inner-hits_default,204.8148269066587,ms
99th percentile latency,randomized-nested-queries-with-inner-hits_default,313.61634848970425,ms
99.9th percentile latency,randomized-nested-queries-with-inner-hits_default,391.2734249156205,ms
100th percentile latency,randomized-nested-queries-with-inner-hits_default,394.74508299463196,ms
50th percentile service time,randomized-nested-queries-with-inner-hits_default,81.05078449989378,ms
90th percentile service time,randomized-nested-queries-with-inner-hits_default,142.46131850086385,ms
99th percentile service time,randomized-nested-queries-with-inner-hits_default,214.74452611033482,ms
99.9th percentile service time,randomized-nested-queries-with-inner-hits_default,312.4600664849587,ms
100th percentile service time,randomized-nested-queries-with-inner-hits_default,326.0433940013172,ms
error rate,randomized-nested-queries-with-inner-hits_default,0.00,%
Min Throughput,randomized-nested-queries-with-inner-hits_default_big_size,10.88,ops/s
Median Throughput,randomized-nested-queries-with-inner-hits_default_big_size,12.43,ops/s
Max Throughput,randomized-nested-queries-with-inner-hits_default_big_size,12.87,ops/s
50th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,36387.52193349865,ms
90th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,43808.99769520038,ms
99th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,45403.141480217964,ms
99.9th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,45743.102038672194,ms
100th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,45783.85646300012,ms
50th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,132.16456400004972,ms
90th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,206.69946389825782,ms
99th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,295.6273243403484,ms
99.9th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,357.72337285329536,ms
100th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,441.4978960012377,ms
error rate,randomized-nested-queries-with-inner-hits_default_big_size,0.00,%
