Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,29.66436666666667,min
Min cumulative indexing time across primary shards,,0,min
Median cumulative indexing time across primary shards,,0.038024999999999996,min
Max cumulative indexing time across primary shards,,25.521366666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,2.284566666666667,min
Cumulative merge count of primary shards,,472,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.05931666666666667,min
Max cumulative merge time across primary shards,,0.7691833333333334,min
Cumulative merge throttle time of primary shards,,0.1947,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0.15653333333333333,min
Cumulative refresh time of primary shards,,5.14645,min
Cumulative refresh count of primary shards,,4640,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.14418333333333333,min
Max cumulative refresh time across primary shards,,2.5444666666666667,min
Cumulative flush time of primary shards,,1.8846999999999998,min
Cumulative flush count of primary shards,,22,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.00031666666666666665,min
Max cumulative flush time across primary shards,,1.8325666666666665,min
Total Young Gen GC,,31.006,s
Total Old Gen GC,,0,s
Store size,,4.922643180005252,GB
Translog size,,1.9641980910673738,GB
Heap used for segments,,1.7947959899902344,MB
Heap used for doc values,,0.7877082824707031,MB
Heap used for terms,,0.920501708984375,MB
Heap used for norms,,0.004150390625,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.08243560791015625,MB
Segment count,,119,
Min Throughput,index-append,6181.74,docs/s
Median Throughput,index-append,6264.83,docs/s
Max Throughput,index-append,6398.00,docs/s
50th percentile latency,index-append,2994.1046379999534,ms
90th percentile latency,index-append,3464.3637435998244,ms
99th percentile latency,index-append,5407.522016180301,ms
99.9th percentile latency,index-append,8088.234390013948,ms
100th percentile latency,index-append,8456.86766200015,ms
50th percentile service time,index-append,2994.1046379999534,ms
90th percentile service time,index-append,3464.3637435998244,ms
99th percentile service time,index-append,5407.522016180301,ms
99.9th percentile service time,index-append,8088.234390013948,ms
100th percentile service time,index-append,8456.86766200015,ms
error rate,index-append,0.00,%
Min Throughput,randomized-nested-queries,17.99,ops/s
Median Throughput,randomized-nested-queries,19.77,ops/s
Max Throughput,randomized-nested-queries,20.00,ops/s
50th percentile latency,randomized-nested-queries,1605.9943480022412,ms
90th percentile latency,randomized-nested-queries,5061.6199705993495,ms
99th percentile latency,randomized-nested-queries,5602.253107959841,ms
99.9th percentile latency,randomized-nested-queries,5740.90885699023,ms
100th percentile latency,randomized-nested-queries,5786.967910000385,ms
50th percentile service time,randomized-nested-queries,81.7093109999405,ms
90th percentile service time,randomized-nested-queries,143.75539610045965,ms
99th percentile service time,randomized-nested-queries,247.72412699998307,ms
99.9th percentile service time,randomized-nested-queries,395.64674383892225,ms
100th percentile service time,randomized-nested-queries,424.11815599916736,ms
error rate,randomized-nested-queries,0.00,%
Min Throughput,randomized-term-queries,24.98,ops/s
Median Throughput,randomized-term-queries,25.02,ops/s
Max Throughput,randomized-term-queries,25.02,ops/s
50th percentile latency,randomized-term-queries,11.524084499797027,ms
90th percentile latency,randomized-term-queries,21.642845599308206,ms
99th percentile latency,randomized-term-queries,79.72313386097082,ms
100th percentile latency,randomized-term-queries,139.16005099963513,ms
50th percentile service time,randomized-term-queries,10.216900500381598,ms
90th percentile service time,randomized-term-queries,19.56246870031464,ms
99th percentile service time,randomized-term-queries,77.30924717165176,ms
100th percentile service time,randomized-term-queries,137.02063900018402,ms
error rate,randomized-term-queries,0.00,%
Min Throughput,randomized-sorted-term-queries,9.60,ops/s
Median Throughput,randomized-sorted-term-queries,9.64,ops/s
Max Throughput,randomized-sorted-term-queries,9.67,ops/s
50th percentile latency,randomized-sorted-term-queries,49579.83043149943,ms
90th percentile latency,randomized-sorted-term-queries,56131.987231500716,ms
99th percentile latency,randomized-sorted-term-queries,57401.44099337111,ms
100th percentile latency,randomized-sorted-term-queries,57500.82738600031,ms
50th percentile service time,randomized-sorted-term-queries,185.44973749976634,ms
90th percentile service time,randomized-sorted-term-queries,322.094980599104,ms
99th percentile service time,randomized-sorted-term-queries,432.97544016000757,ms
100th percentile service time,randomized-sorted-term-queries,569.9835140003415,ms
error rate,randomized-sorted-term-queries,0.00,%
Min Throughput,match-all,5.00,ops/s
Median Throughput,match-all,5.00,ops/s
Max Throughput,match-all,5.00,ops/s
50th percentile latency,match-all,6.236478497157805,ms
90th percentile latency,match-all,14.609119197484697,ms
99th percentile latency,match-all,66.03788597911256,ms
100th percentile latency,match-all,86.73435099626658,ms
50th percentile service time,match-all,5.001589500352566,ms
90th percentile service time,match-all,13.091594800062012,ms
99th percentile service time,match-all,65.15547192027947,ms
100th percentile service time,match-all,85.03670599930047,ms
error rate,match-all,0.00,%
Min Throughput,nested-date-histo,0.88,ops/s
Median Throughput,nested-date-histo,0.88,ops/s
Max Throughput,nested-date-histo,0.89,ops/s
50th percentile latency,nested-date-histo,53999.389447000794,ms
90th percentile latency,nested-date-histo,74868.44436360079,ms
99th percentile latency,nested-date-histo,79367.42248616014,ms
100th percentile latency,nested-date-histo,79957.09397600149,ms
50th percentile service time,nested-date-histo,2181.1192539998956,ms
90th percentile service time,nested-date-histo,2580.9616878994348,ms
99th percentile service time,nested-date-histo,2752.96095362155,ms
100th percentile service time,nested-date-histo,3039.363636999042,ms
error rate,nested-date-histo,0.00,%
Min Throughput,randomized-nested-queries-with-inner-hits_default,17.87,ops/s
Median Throughput,randomized-nested-queries-with-inner-hits_default,17.99,ops/s
Max Throughput,randomized-nested-queries-with-inner-hits_default,18.00,ops/s
50th percentile latency,randomized-nested-queries-with-inner-hits_default,134.0093187200182,ms
90th percentile latency,randomized-nested-queries-with-inner-hits_default,642.2194402084648,ms
99th percentile latency,randomized-nested-queries-with-inner-hits_default,1359.1556733713333,ms
99.9th percentile latency,randomized-nested-queries-with-inner-hits_default,1461.8841717976723,ms
100th percentile latency,randomized-nested-queries-with-inner-hits_default,1488.6085092184658,ms
50th percentile service time,randomized-nested-queries-with-inner-hits_default,87.43708050042187,ms
90th percentile service time,randomized-nested-queries-with-inner-hits_default,149.90107980029282,ms
99th percentile service time,randomized-nested-queries-with-inner-hits_default,258.5436931699041,ms
99.9th percentile service time,randomized-nested-queries-with-inner-hits_default,374.132198687416,ms
100th percentile service time,randomized-nested-queries-with-inner-hits_default,430.37420400105475,ms
error rate,randomized-nested-queries-with-inner-hits_default,0.00,%
Min Throughput,randomized-nested-queries-with-inner-hits_default_big_size,14.21,ops/s
Median Throughput,randomized-nested-queries-with-inner-hits_default_big_size,14.66,ops/s
